subject,model_id,delta_log_evidence_vs_glm,log_evidence,model
DAP023,deep_te_rule,-0.06515160148403693,-3092.150540542596,Deep + TE rule
DAP024,deep_te_rule,-0.6498389808514027,-10810.17698521384,Deep + TE rule
DAP027,deep_te_rule,-0.010420851417896738,-1520.5697026886735,Deep + TE rule
DAP028,deep_te_rule,-0.23189373717824102,-5476.6888841159525,Deep + TE rule
DAP033,deep_te_rule,-0.059244611175221,-1466.0360338058308,Deep + TE rule
DAP039,deep_te_rule,-0.07537785213778267,-2040.19997517268,Deep + TE rule
DAP044,deep_te_rule,-0.08869010417553085,-187.75685783577592,Deep + TE rule
DAP046,deep_te_rule,-0.029039604603406873,-3597.1974928551135,Deep + TE rule
DAP048,deep_te_rule,-0.14265442750062599,-1701.54067916625,Deep + TE rule
DAP050,deep_te_rule,-0.7197323074786592,-10373.63696433691,Deep + TE rule
DAP051,deep_te_rule,-0.19900066821986737,-4559.149756225939,Deep + TE rule
DAP110,deep_te_rule,-0.177152690404247,-1759.2400963808086,Deep + TE rule
DAP156,deep_te_rule,-0.3330093547674609,-5557.989127589703,Deep + TE rule
