subject,model_id,delta_log_evidence_vs_glm,log_evidence,model
DAP024,deep_te_rule,-6239.753894135169,-10810.17698521384,Deep + TE rule
DAP027,deep_te_rule,-38.48420428629265,-1520.5697026886735,Deep + TE rule
DAP028,deep_te_rule,-1949.7625421946505,-5476.6888841159525,Deep + TE rule
DAP033,deep_te_rule,-238.1040923132132,-1466.0360338058308,Deep + TE rule
DAP039,deep_te_rule,-238.34476845966878,-2040.19997517268,Deep + TE rule
DAP044,deep_te_rule,-36.096872399441054,-187.75685783577592,Deep + TE rule
DAP046,deep_te_rule,-226.39275748816,-3597.1974928551135,Deep + TE rule
DAP048,deep_te_rule,-368.04842295161507,-1701.54067916625,Deep + TE rule
DAP050,deep_te_rule,-5882.372149023082,-10373.63696433691,Deep + TE rule
DAP051,deep_te_rule,-1227.8341229165817,-4559.149756225939,Deep + TE rule
DAP110,deep_te_rule,-457.58539931417,-1759.2400963808086,Deep + TE rule
DAP156,deep_te_rule,-2121.6025992234936,-5557.989127589703,Deep + TE rule
